km_driven,BMW,Chevrolet,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,uncommon,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
38817,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
92385,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
100000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
220000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
30000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
58343,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
110000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
14000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7500,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
89000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
44000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
100000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
63063,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
100000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
250000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
110000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
110000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
80000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
75500,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
47000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
90000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
156040,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
75000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
45000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
60000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
110000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
185000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
80000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
120000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
60000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
61260,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
150360,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
120000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8500,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
70000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
62000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22512,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
200000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
40000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
73730,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
100000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
90000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
40523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
39000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
60000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
69000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
40000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33360,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
214000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
110000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
42323,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
163000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
30000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
25000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
100000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
100000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
23700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
43000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
120000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
60000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
75000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
170000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
36000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
125000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18890,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
67000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58343,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
75000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
90000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
80000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
60000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
147000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
95000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
30000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
120000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13663,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
10000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
168000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
40000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
120000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
120000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
69000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73840,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
230000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
68089,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
40000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
27000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
100000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71717,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
52000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
120000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
56000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
15000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
300000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
90000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
60000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
93000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
55130,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
60000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
80000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
250000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
35000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
70000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
185000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
80000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
175000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
45000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
43001,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
65000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38817,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
100000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
53000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
116000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
114000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
48000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
155000,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56290,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
120600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
100000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
41232,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
40000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69779,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
60000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
80000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
30000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
50000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
15000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
137500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
50000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
90000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
158000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
100000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
105000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120000,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
42000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
104000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
